Date,Time,Course,Horse,Race Type,A/W Course Type,H/Cap,No. of Rnrs,Value,8:30PM Price,7:30AM Price,Class,Class Move,Sex,Age,Weight,Irish?,Draw IV,Comb. Total,Comb. Rank,Race Rank,Comp. Rank,PRB Rank,Speed Rank,MSAI Rank,No. of Top,Comp. Total,>100,<50,Clear By,Fin Pos,BSP,Win P/L <2%,Place P/L <2%,Month,Classification,Trainer,Jockey,Trainer PRB,Jockey PRB,Jockey Claim,LTO Fin Pos,Race Rating,Ability,Going,Distance,Course/Sim,TrainrF,JockyF,Draw,Speed,Total,Draw/Stall,SP (Dec),Distance (Yards),Morning Price,DSLR,Runs Last 90 Days,Runs Last Year,Runs Last 2 Years,Days Since Win,Races Since Win,Place BSP,Act. Going
260719,1340,Curragh,Bold Commander,Turf, ,N,12,6.33,3.75,3.25,4,S,c,2,133,Y,1.06,5,1,2,1,1,1,0,4,559,3,1,88,0,0,0,0,Jul,Mdn-EBF,A P O'Brien,Ryan Moore,40.35,46.68,0,2,0,100,60,100,33.33,80,80,106,91.04,650.37,2,0,1100,0,16,2,2,2,0,0,0, 
260719,1340,Curragh,Litmus Test,Turf, ,N,12,9.33,4,4,4,U,c,2,133,Y,0.26,21,4,3,10,99,99,0,0,319,0,5,22.67,0,0,0,0,Jul,Mdn-EBF,P Twomey,W J Lee,51.5,39.2,0,2,-20,33.33,33.33,33.33,33.33,80,80,26,33.33,352.65,7,0,1100,0,100,0,1,1,0,0,0, 
260719,1340,Curragh,Abletai,Turf, ,N,12,9.66,4.5,4.5,4,D,c,2,133,Y,0.46,13,2,2,6,2,2,0,0,382,0,3,10.01,0,0,0,0,Jul,Mdn-EBF,M C Grassick,Wayne Lordan,50.8,41.74,0,6,0,50,33.33,60,33.33,80,80,46,80.59,463.25,10,0,1100,0,15,3,3,3,0,0,0, 
260719,1340,Curragh,Star Above Me,Turf, ,N,12,23,6,7,4,S,f,2,128,Y,1.58,23,5,3,3,99,99,0,0,458,3,4,40,0,0,0,0,Jul,Mdn-EBF,Andrew Slattery,Andrew Slattery,27.54,26.21,0,0,-20,33.33,33.33,33.33,33.33,100,100,125,33.33,491.65,1,0,1100,0,0,0,0,0,0,0,0, 
260719,1340,Curragh,Atlantic Bridge,Turf, ,N,12,21,7.5,8,4,S,c,2,133,Y,1.02,24,6,3,5,99,99,0,0,395,1,4,12.66,0,0,0,0,Jul,Mdn-EBF,Robson Aguiar,Donagh O'Connor,19.54,37.97,0,0,-20,33.33,33.33,33.33,33.33,80,80,102,33.33,428.65,12,0,1100,0,0,0,0,0,0,0,0, 
260719,1340,Curragh,La Tache,Turf, ,N,12,11.66,9,9,4,S,c,2,133,Y,1.08,17,3,8,2,3,6,0,0,471,2,1,13.01,0,0,0,0,Jul,Mdn-EBF,G M Lyons,Colin Keane,48.73,49.87,0,4,-30,50,50,33.33,50,100,80,108,33.33,504.66,9,0,1100,0,11,2,2,2,0,0,0, 
260719,1340,Curragh,Southern Boulevard,Turf, ,N,12,16.33,21,23,4,S,f,2,128,Y,1.06,25,7,8,7,4,4,0,0,372,2,5,34,0,0,0,0,Jul,Mdn-EBF,G M Lyons,Gary Carroll,48.73,29.22,0,5,-30,33.33,33.33,33.33,33.33,100,33.33,106,73.13,445.78,6,0,1100,0,15,1,1,1,0,0,0, 
260719,1340,Curragh,Brageiro,Turf, ,N,12,20.33,34,34,4,S,f,2,128,Y,0.4,27,9,3,9,99,99,0,0,323,1,5,4,0,0,0,0,Jul,Mdn-EBF,Ross O'Sullivan,Shane Foley,36.93,35,0,0,-20,33.33,33.33,33.33,33.33,50,100,40,33.33,356.65,3,0,1100,0,0,0,0,0,0,0,0, 
260719,1340,Curragh,My Irish Lady,Turf, ,N,12,16.33,34,34,4,S,f,2,128,Y,1.58,25,7,8,4,6,5,0,0,418,1,4,23,0,0,0,0,Jul,Mdn-EBF,J P Murtagh,Ben Coen,43.65,39.37,0,6,-30,33.33,33.33,33.33,33.33,80,80,125,64.17,482.49,5,0,1100,0,15,1,1,1,0,0,0, 
260719,1340,Curragh,Invincible Irish,Turf, ,N,12,17.33,51,51,4,S,g,2,133,Y,0.5,28,10,3,11,99,99,0,0,296,0,5,30.67,0,0,0,0,Jul,Mdn-EBF,Daniel McLoughlin,Nathan Crosse,38.96,22.98,0,0,-20,33.33,33.33,33.33,33.33,80,33.33,50,33.33,329.98,11,0,1100,0,0,0,0,0,0,0,0, 
